Agency Name,Reference Number,Program Name,State Purpose,Fund Name,Financing Source,Chapter/Section/Year,Description,Enacted Reappropriations 2015-16,Encumbrance as of 5/5/2015,Enacted Appropriations 2015-16
"Transportation, Department of",17011322,Non-Federal Aided Highway Capital Projects,Highway Facilities,Dedicated Highway and Bridge Trust Fund,Dedicated Highway and Bridge Trust Fund,0054/01/13,highway ps,1000000,0,0
"Transportation, Department of",17N61230,Engineering Services,Highway Facilities,Miscellaneous Special Revenue,NY Metro Transportation Council Account,0054/01/12,nymtc cont,8102000,1194372,0
"Transportation, Department of",170113PT,Non-Federal Aided Highway Capital Projects,Health and Safety,Dedicated Highway and Bridge Trust Fund,Dedicated Highway and Bridge Trust Fund,0054/01/13,bus inspection ps,1000,0,0
"Transportation, Department of",17011422,Non-Federal Aided Highway Capital Projects,Highway Facilities,Dedicated Highway and Bridge Trust Fund,Dedicated Highway and Bridge Trust Fund,0054/01/14,highway ps,6000000,0,0
"Transportation, Department of",170114HM,Non-Federal Aided Highway Capital Projects,Preservation of Facilities,Dedicated Highway and Bridge Trust Fund,Dedicated Highway and Bridge Trust Fund,0054/01/14,highway maintenance ps,139184000,0,0
"Transportation, Department of",170114PT,Non-Federal Aided Highway Capital Projects,Health and Safety,Dedicated Highway and Bridge Trust Fund,Dedicated Highway and Bridge Trust Fund,0054/01/14,bus safety ps,3233000,0,0
"Transportation, Department of",17011522,Non-Federal Aided Highway Capital Projects,Highway Facilities,Dedicated Highway and Bridge Trust Fund,Dedicated Highway and Bridge Trust Fund,0000/00/15,highway ps,0,0,5000000
"Transportation, Department of",170115HM,Non-Federal Aided Highway Capital Projects,Preservation of Facilities,Dedicated Highway and Bridge Trust Fund,Dedicated Highway and Bridge Trust Fund,0000/00/15,highway maintenance ps,0,0,253110000
"Transportation, Department of",170115PT,Non-Federal Aided Highway Capital Projects,Health and Safety,Dedicated Highway and Bridge Trust Fund,Dedicated Highway and Bridge Trust Fund,0000/00/15,bus safety ps,0,0,6006000
"Transportation, Department of",17020022,Non-Federal Aided Highway Capital Projects,Highway Facilities,Dedicated Highway and Bridge Trust Fund,Dedicated Highway and Bridge Trust Fund,0055/01/00,"Nfa Hwy, Eng, Row",4587000,1369287,0
"Transportation, Department of",17020122,Non-Federal Aided Highway Capital Projects,Highway Facilities,Dedicated Highway and Bridge Trust Fund,Dedicated Highway and Bridge Trust Fund,0055/01/01,"Nfa Hwy, Eng, Row",128455000,1548447,0
"Transportation, Department of",17020222,Non-Federal Aided Highway Capital Projects,Highway Facilities,Dedicated Highway and Bridge Trust Fund,Dedicated Highway and Bridge Trust Fund,0055/01/02,"Nfa Hwy, Eng, Row",4803000,4754641,0
"Transportation, Department of",17020322,Non-Federal Aided Highway Capital Projects,Highway Facilities,Dedicated Highway and Bridge Trust Fund,Dedicated Highway and Bridge Trust Fund,0055/01/03,"NFA Highway, ROW",8479000,7610652,0
"Transportation, Department of",17020422,Non-Federal Aided Highway Capital Projects,Highway Facilities,Dedicated Highway and Bridge Trust Fund,Dedicated Highway and Bridge Trust Fund,0055/01/04,"NFA Highway, ROW",30688000,14056671,0
"Transportation, Department of",17020516,Transportation Bondable ,Canals and Waterways,Capital Projects Fund,Capital Projects Fund - Rebuild Renew NY 2005(Bondable),0055/01/05,Canals and Waterways,5203000,2938205,0
"Transportation, Department of",17020522,Non-Federal Aided Highway Capital Projects,Highway Facilities,Dedicated Highway and Bridge Trust Fund,Dedicated Highway and Bridge Trust Fund,0055/01/05,"NFA Highway, ROW",4596000,2787465,0
"Transportation, Department of",17020616,Transportation Bondable ,Canals and Waterways,Capital Projects Fund,Capital Projects Fund - Rebuild Renew NY 2005(Bondable),0055/01/06,Canals and Waterways,6690000,6689503,0
"Transportation, Department of",17020622,Non-Federal Aided Highway Capital Projects,Highway Facilities,Dedicated Highway and Bridge Trust Fund,Dedicated Highway and Bridge Trust Fund,0054/01/06,"NFA Highway, ROW",7629000,5885082,0
"Transportation, Department of",17020716,Transportation Bondable ,Canals and Waterways,Capital Projects Fund,Capital Projects Fund - Rebuild Renew NY 2005(Bondable),0055/01/07,Canals and Waterways,7359000,4917700,0
"Transportation, Department of",17020722,Non-Federal Aided Highway Capital Projects,Highway Facilities,Dedicated Highway and Bridge Trust Fund,Dedicated Highway and Bridge Trust Fund,0055/01/07,"NFA Highway, ROW",5072000,3504251,0
"Transportation, Department of",17020816,Transportation Bondable ,Canals and Waterways,Capital Projects Fund,Capital Projects Fund - Rebuild Renew NY 2005(Bondable),0055/01/08,Canals and Waterways,2522000,2389153,0
"Transportation, Department of",17020822,Non-Federal Aided Highway Capital Projects,Highway Facilities,Dedicated Highway and Bridge Trust Fund,Dedicated Highway and Bridge Trust Fund,0055/01/08,"NFA Highway, ROW",22354000,7029785,0
"Transportation, Department of",17020916,Transportation Bondable ,Canals and Waterways,Capital Projects Fund,Capital Projects Fund - Rebuild Renew NY 2005(Bondable),0055/01/09,Canals and Waterways,9040000,8904782,0
"Transportation, Department of",17020922,Non-Federal Aided Highway Capital Projects,Highway Facilities,Dedicated Highway and Bridge Trust Fund,Dedicated Highway and Bridge Trust Fund,0055/01/09,"NFA Highway, ROW",93804000,47718934,0
"Transportation, Department of",17021022,Non-Federal Aided Highway Capital Projects,Highway Facilities,Dedicated Highway and Bridge Trust Fund,Dedicated Highway and Bridge Trust Fund,0055/01/10,"NFA Highway, ROW",32236000,16144490,0
"Transportation, Department of",17021122,Non-Federal Aided Highway Capital Projects,Highway Facilities,Dedicated Highway and Bridge Trust Fund,Dedicated Highway and Bridge Trust Fund,0054/01/11,"NFA Highway, ROW",61682000,16200912,0
"Transportation, Department of",17028420,Federal Aid Highways - Bondable Purpose,Highway Facilities,Capital Projects Fund,Capital Projects Fund - Infrastructure Renewal (Bondable),0054/01/84,Infrastructure Renewal Bond,1969000,0,0
"Transportation, Department of",17028520,Federal Aid Highways - Bondable Purpose,Highway Facilities,Capital Projects Fund,Capital Projects Fund - Infrastructure Renewal (Bondable),0054/01/85,Infrastructure Renewal Bond,1210000,0,0
"Transportation, Department of",17028720,Federal Aid Highways - Bondable Purpose,Highway Facilities,Capital Projects Fund,Capital Projects Fund - Infrastructure Renewal (Bondable),0054/01/87,Infrastructure Renewal Bond,1126000,0,0
"Transportation, Department of",17028820,Federal Aid Highways - Bondable Purpose,Highway Facilities,Capital Projects Fund,Capital Projects Fund - Infrastructure Renewal (Bondable),0054/01/88,Infrastructure Renewal Bond,1449000,3546,0
"Transportation, Department of",17029222,Non-Federal Aided Highway Capital Projects,Highway Facilities,Dedicated Highway and Bridge Trust Fund,Dedicated Highway and Bridge Trust Fund,0054/01/92,Non-Federal Aided Highway,8632000,0,0
"Transportation, Department of",17029322,Non-Federal Aided Highway Capital Projects,Highway Facilities,Dedicated Highway and Bridge Trust Fund,Dedicated Highway and Bridge Trust Fund,0054/01/93,Non Federally Aided Highways,3753000,0,0
"Transportation, Department of",17029422,Non-Federal Aided Highway Capital Projects,Highway Facilities,Dedicated Highway and Bridge Trust Fund,Dedicated Highway and Bridge Trust Fund,0054/01/94,Non Federally Aided Highways,25881000,3528,0
"Transportation, Department of",17029522,Non-Federal Aided Highway Capital Projects,Highway Facilities,Dedicated Highway and Bridge Trust Fund,Dedicated Highway and Bridge Trust Fund,0054/01/95,Non Federally Aided Highway,21803000,0,0
"Transportation, Department of",17029622,Non-Federal Aided Highway Capital Projects,Highway Facilities,Dedicated Highway and Bridge Trust Fund,Dedicated Highway and Bridge Trust Fund,0054/01/96,Dedicated Fund,962000,26098,0
"Transportation, Department of",17029722,Non-Federal Aided Highway Capital Projects,Highway Facilities,Dedicated Highway and Bridge Trust Fund,Dedicated Highway and Bridge Trust Fund,0055/01/97,Dedicated Fund,5115000,2433728,0
"Transportation, Department of",17029822,Non-Federal Aided Highway Capital Projects,Highway Facilities,Dedicated Highway and Bridge Trust Fund,Dedicated Highway and Bridge Trust Fund,0055/01/98,Dedicated Fund,7083000,1137186,0
"Transportation, Department of",17029922,Non-Federal Aided Highway Capital Projects,Highway Facilities,Dedicated Highway and Bridge Trust Fund,Dedicated Highway and Bridge Trust Fund,0055/01/99,"Nfa Hwy, Eng, Row",7484000,793312,0
"Transportation, Department of",17030020,Federal Aid Highways - Federal Purpose,Highway Facilities,Federal Capital Projects,Federal Capital Projects Fund,0055/01/00,Transportation Aid,30460000,13824900,0
"Transportation, Department of",17030120,Federal Aid Highways - Federal Purpose,Highway Facilities,Federal Capital Projects,Federal Capital Projects Fund,0055/01/01,Transportation Aid,66013000,53340430,0
"Transportation, Department of",17030220,Federal Aid Highways - Federal Purpose,Highway Facilities,Federal Capital Projects,Federal Capital Projects Fund,0055/01/02,Transportation Aid,56538000,27773672,0
"Transportation, Department of",17030320,Federal Aid Highways - Federal Purpose,Highway Facilities,Federal Capital Projects,Federal Capital Projects Fund,0055/01/03,Transportation Aid,58979000,22023476,0
"Transportation, Department of",17030420,Federal Aid Highways - Federal Purpose,Highway Facilities,Federal Capital Projects,Federal Capital Projects Fund,0055/01/04,Transportation Aid,65493000,28882400,0
"Transportation, Department of",17030514,Transportation Bondable ,Aviation,Capital Projects Fund,Capital Projects Fund - Rebuild Renew NY 2005(Bondable),0055/01/05,Aviation,1808000,1443659,0
"Transportation, Department of",17030520,Federal Aid Highways - Federal Purpose,Highway Facilities,Federal Capital Projects,Federal Capital Projects Fund,0055/01/05,Transportation Aid,57515000,12550456,0
"Transportation, Department of",17030614,Transportation Bondable ,Aviation,Capital Projects Fund,Capital Projects Fund - Rebuild Renew NY 2005(Bondable),0055/01/06,Aviation,1542000,1153199,0
"Transportation, Department of",17030620,Federal Aid Highways - Federal Purpose,Highway Facilities,Federal Capital Projects,Federal Capital Projects Fund,0055/01/06,Transportation Aid,96933000,31045810,0
"Transportation, Department of",17030714,Transportation Bondable ,Aviation,Capital Projects Fund,Capital Projects Fund - Rebuild Renew NY 2005(Bondable),0055/01/07,Aviation,3063000,2118873,0
"Transportation, Department of",17030720,Federal Aid Highways - Federal Purpose,Highway Facilities,Federal Capital Projects,Federal Capital Projects Fund,0055/01/07,Transportation Aid,150162000,60340123,0
"Transportation, Department of",17030814,Transportation Bondable ,Aviation,Capital Projects Fund,Capital Projects Fund - Rebuild Renew NY 2005(Bondable),0055/01/08,Aviation,5115000,2803682,0
"Transportation, Department of",17030820,Federal Aid Highways - Federal Purpose,Highway Facilities,Federal Capital Projects,Federal Capital Projects Fund,0055/01/08,Transportation Aid,165255000,51035565,0
"Transportation, Department of",17030914,Transportation Bondable ,Aviation,Capital Projects Fund,Capital Projects Fund - Rebuild Renew NY 2005(Bondable),0055/01/09,Aviation,12460000,8178744,0
"Transportation, Department of",17030920,Federal Aid Highways - Federal Purpose,Highway Facilities,Federal Capital Projects,Federal Capital Projects Fund,0055/01/09,Transportation Aid,213295000,64720031,0
"Transportation, Department of",170309FS,American Recovery and Reinvestment Act,Highway Facilities,Federal Capital Projects,Federal Stimulus,0055/01/09,ARRA Highways,27712000,8972310,0
"Transportation, Department of",17031020,Federal Aid Highways - Federal Purpose,Highway Facilities,Federal Capital Projects,Federal Capital Projects Fund,0055/01/10,Federal Aid Highways,326104000,107154203,0
"Transportation, Department of",17031120,Federal Aid Highways - Federal Purpose,Highway Facilities,Federal Capital Projects,Federal Capital Projects Fund,0054/01/11,Federal Aid Highways,526341000,275574650,0
"Transportation, Department of",17031220,Federal Aid Highways - Federal Purpose,Highway Facilities,Federal Capital Projects,Federal Capital Projects Fund,0054/01/12,Federal Aid Highways,732234000,549294681,0
"Transportation, Department of",17031320,Federal Aid Highways - Federal Purpose,Highway Facilities,Federal Capital Projects,Federal Capital Projects Fund,0054/01/13,Federal Aid Highways,1360902000,590291441,0
"Transportation, Department of",17031420,Federal Aid Highways - Federal Purpose,Highway Facilities,Federal Capital Projects,Federal Capital Projects Fund,0054/01/14,Federal Aid Highways construction,1546556000,828283757,0
"Transportation, Department of",17031520,Federal Aid Highways - Federal Purpose,Highway Facilities,Federal Capital Projects,Federal Capital Projects Fund,0000/00/15,Federal Aid Highways,0,156025139,1600000000
"Transportation, Department of",17039120,Federal Aid Highways - Federal Purpose,Highway Facilities,Federal Capital Projects,Federal Capital Projects Fund,0054/01/91,Fed Share Of Highway Projects,23081000,14986318,0
"Transportation, Department of",17039220,Federal Aid Highways - Federal Purpose,Highway Facilities,Federal Capital Projects,Federal Capital Projects Fund,0054/01/92,Fed Share Of Highway Projects,30549000,0,0
"Transportation, Department of",17039320,Federal Aid Highways - Federal Purpose,Highway Facilities,Federal Capital Projects,Federal Capital Projects Fund,0054/01/93,Transportation Aid,18717000,72607,0
"Transportation, Department of",17039420,Federal Aid Highways - Federal Purpose,Highway Facilities,Federal Capital Projects,Federal Capital Projects Fund,0054/01/94,Transportation Aid,72306000,68258654,0
"Transportation, Department of",17039520,Federal Aid Highways - Federal Purpose,Highway Facilities,Federal Capital Projects,Federal Capital Projects Fund,0054/01/95,Transportation Aid,60154000,45469727,0
"Transportation, Department of",17039620,Federal Aid Highways - Federal Purpose,Highway Facilities,Federal Capital Projects,Federal Capital Projects Fund,0054/01/96,Transportation Aid,36127000,8937501,0
"Transportation, Department of",17039720,Federal Aid Highways - Federal Purpose,Highway Facilities,Federal Capital Projects,Federal Capital Projects Fund,0055/01/97,Trnsportation Aid,33488000,14248309,0
"Transportation, Department of",17039820,Federal Aid Highways - Federal Purpose,Highway Facilities,Federal Capital Projects,Federal Capital Projects Fund,0055/01/98,Transportation Aid,27218000,11331200,0
"Transportation, Department of",17039920,Federal Aid Highways - Federal Purpose,Highway Facilities,Federal Capital Projects,Federal Capital Projects Fund,0055/01/99,Transportation Aid,21120000,14829520,0
"Transportation, Department of",17040022,Non-Federal Aided Highway Capital Projects,Highway Facilities,Dedicated Highway and Bridge Trust Fund,Dedicated Highway and Bridge Trust Fund,0055/01/00,Preventive Maintenance,139000,0,0
"Transportation, Department of",17040122,Non-Federal Aided Highway Capital Projects,Highway Facilities,Dedicated Highway and Bridge Trust Fund,Dedicated Highway and Bridge Trust Fund,0055/01/01,Preventive Maintenance,14741000,0,0
"Transportation, Department of",17040222,Non-Federal Aided Highway Capital Projects,Highway Facilities,Dedicated Highway and Bridge Trust Fund,Dedicated Highway and Bridge Trust Fund,0055/01/02,Preventive Maintenance,20536000,0,0
"Transportation, Department of",17040322,Non-Federal Aided Highway Capital Projects,Highway Facilities,Dedicated Highway and Bridge Trust Fund,Dedicated Highway and Bridge Trust Fund,0055/01/03,Preventive Maintenance,2136000,29886,0
"Transportation, Department of",17040422,Non-Federal Aided Highway Capital Projects,Highway Facilities,Dedicated Highway and Bridge Trust Fund,Dedicated Highway and Bridge Trust Fund,0055/01/04,Preventive Maintenance,1107000,23252,0
"Transportation, Department of",17040515,Transportation Bondable ,Port Development,Capital Projects Fund,Capital Projects Fund - Rebuild Renew NY 2005(Bondable),0055/01/05,Rail and Port,8556000,8360048,0
"Transportation, Department of",170405HM,Non-Federal Aided Highway Capital Projects,Preservation of Facilities,Dedicated Highway and Bridge Trust Fund,Dedicated Highway and Bridge Trust Fund,0054/01/05,Preventive Maintenance,712000,0,0
"Transportation, Department of",17040615,Transportation Bondable ,Port Development,Capital Projects Fund,Capital Projects Fund - Rebuild Renew NY 2005(Bondable),0055/01/06,Rail and Port,7297000,5188798,0
"Transportation, Department of",170406HM,Non-Federal Aided Highway Capital Projects,Preservation of Facilities,Dedicated Highway and Bridge Trust Fund,Dedicated Highway and Bridge Trust Fund,0055/01/06,Preventive Maintenance,3167000,25602,0
"Transportation, Department of",17040715,Transportation Bondable ,Port Development,Capital Projects Fund,Capital Projects Fund - Rebuild Renew NY 2005(Bondable),0055/01/07,Rail and Port,3186000,3052089,0
"Transportation, Department of",170407HM,Non-Federal Aided Highway Capital Projects,Preservation of Facilities,Dedicated Highway and Bridge Trust Fund,Dedicated Highway and Bridge Trust Fund,0055/01/07,Preventive Maintenance,240000,2831,0
"Transportation, Department of",17040815,Transportation Bondable ,Port Development,Capital Projects Fund,Capital Projects Fund - Rebuild Renew NY 2005(Bondable),0055/01/08,Rail and Port,13997000,6524169,0
"Transportation, Department of",170408HM,Non-Federal Aided Highway Capital Projects,Preservation of Facilities,Dedicated Highway and Bridge Trust Fund,Dedicated Highway and Bridge Trust Fund,0055/01/08,Preventive Maintenance,1310000,59954,0
"Transportation, Department of",17040915,Transportation Bondable ,Port Development,Capital Projects Fund,Capital Projects Fund - Rebuild Renew NY 2005(Bondable),0055/01/09,Rail and Port,14968000,8634073,0
"Transportation, Department of",170409FS,American Recovery and Reinvestment Act,Mass Transportation and Rail Freight,Federal Capital Projects,Federal Stimulus,0223/LD/,ARRA High Speed Rail,552268000,405147081,0
"Transportation, Department of",170409HM,Non-Federal Aided Highway Capital Projects,Preservation of Facilities,Dedicated Highway and Bridge Trust Fund,Dedicated Highway and Bridge Trust Fund,0055/01/09,Preventive Maintenance,37207000,149376,0
"Transportation, Department of",170410HM,Non-Federal Aided Highway Capital Projects,Preservation of Facilities,Dedicated Highway and Bridge Trust Fund,Dedicated Highway and Bridge Trust Fund,0055/01/10,Preventive Maintenance,10342000,416652,0
"Transportation, Department of",170411HM,Non-Federal Aided Highway Capital Projects,Preservation of Facilities,Dedicated Highway and Bridge Trust Fund,Dedicated Highway and Bridge Trust Fund,0054/01/11,Preventive Maintenance,102847000,6874748,0
"Transportation, Department of",17041220,New York Works,Highway Facilities,Federal Capital Projects,Federal Capital Projects Fund,0054/01/12,acclelerated hwy,444971000,347634258,0
"Transportation, Department of",17041222,Non-Federal Aided Highway Capital Projects,Highway Facilities,Dedicated Highway and Bridge Trust Fund,Dedicated Highway and Bridge Trust Fund,0054/01/12,highway/row nps,1452000,868039,0
"Transportation, Department of",170412HM,Non-Federal Aided Highway Capital Projects,Preservation of Facilities,Dedicated Highway and Bridge Trust Fund,Dedicated Highway and Bridge Trust Fund,0054/01/12,highway maintenance nps,5500000,2566843,0
"Transportation, Department of",17041322,Non-Federal Aided Highway Capital Projects,Highway Facilities,Dedicated Highway and Bridge Trust Fund,Dedicated Highway and Bridge Trust Fund,0054/01/13,highway nps,3015000,2773688,0
"Transportation, Department of",170413HM,Non-Federal Aided Highway Capital Projects,Preservation of Facilities,Dedicated Highway and Bridge Trust Fund,Dedicated Highway and Bridge Trust Fund,0054/01/13,highway maint nps,24788000,5783603,0
"Transportation, Department of",17041422,Non-Federal Aided Highway Capital Projects,Highway Facilities,Dedicated Highway and Bridge Trust Fund,Dedicated Highway and Bridge Trust Fund,0054/01/14,highway nps,18481000,10036240,0
"Transportation, Department of",170414HM,Non-Federal Aided Highway Capital Projects,Preservation of Facilities,Dedicated Highway and Bridge Trust Fund,Dedicated Highway and Bridge Trust Fund,0054/01/14,highway maintenance nps,189729000,32199896,0
"Transportation, Department of",17041522,Non-Federal Aided Highway Capital Projects,Highway Facilities,Dedicated Highway and Bridge Trust Fund,Dedicated Highway and Bridge Trust Fund,0000/00/15,highway nps,0,52264,20000000
"Transportation, Department of",170415HM,Non-Federal Aided Highway Capital Projects,Preservation of Facilities,Dedicated Highway and Bridge Trust Fund,Dedicated Highway and Bridge Trust Fund,0000/00/15,highway maintenance nps,0,3865803,235648000
"Transportation, Department of",17049722,Non-Federal Aided Highway Capital Projects,Highway Facilities,Dedicated Highway and Bridge Trust Fund,Dedicated Highway and Bridge Trust Fund,0145/53/97,Preventive Maintenance,1872000,0,0
"Transportation, Department of",17049822,Non-Federal Aided Highway Capital Projects,Highway Facilities,Dedicated Highway and Bridge Trust Fund,Dedicated Highway and Bridge Trust Fund,0055/01/98,Preventive Maintenance,2153000,0,0
"Transportation, Department of",17049922,Non-Federal Aided Highway Capital Projects,Highway Facilities,Dedicated Highway and Bridge Trust Fund,Dedicated Highway and Bridge Trust Fund,0055/01/99,Preventive Maintenance,596000,0,0
"Transportation, Department of",170505MT,Transportation Bondable ,Mass Transportation and Rail Freight,Capital Projects Fund,Capital Projects Fund - Rebuild Renew NY 2005(Bondable),0055/01/05,Mass Transit,6086000,3135875,0
"Transportation, Department of",170506MT,Transportation Bondable ,Mass Transportation and Rail Freight,Capital Projects Fund,Capital Projects Fund - Rebuild Renew NY 2005(Bondable),0055/01/06,Mass Transit,6086000,3135875,0
"Transportation, Department of",170507MT,Transportation Bondable ,Mass Transportation and Rail Freight,Capital Projects Fund,Capital Projects Fund - Rebuild Renew NY 2005(Bondable),0055/01/07,Mass Transit,6468000,2778284,0
"Transportation, Department of",170508MT,Transportation Bondable ,Mass Transportation and Rail Freight,Capital Projects Fund,Capital Projects Fund - Rebuild Renew NY 2005(Bondable),0055/01/08,Mass Transit,6691000,100000,0
"Transportation, Department of",170509FS,American Recovery and Reinvestment Act,Mass Transportation and Rail Freight,Federal Capital Projects,Federal Stimulus,0055/01/09,ARRA Mass Transit,3085000,0,0
"Transportation, Department of",170509MT,Transportation Bondable ,Mass Transportation and Rail Freight,Capital Projects Fund,Capital Projects Fund - Rebuild Renew NY 2005(Bondable),0055/01/09,Mass Transit,10000000,0,0
"Transportation, Department of",170513HM,Non-Federal Aided Highway Capital Projects,Preservation of Facilities,Dedicated Highway and Bridge Trust Fund,Dedicated Highway and Bridge Trust Fund,0054/01/13,highway maint hvy equip,27894000,580438,0
"Transportation, Department of",170514HM,Non-Federal Aided Highway Capital Projects,Preservation of Facilities,Dedicated Highway and Bridge Trust Fund,Dedicated Highway and Bridge Trust Fund,0054/01/14,highway maintenance equip,40000000,26118100,0
"Transportation, Department of",170515HM,Non-Federal Aided Highway Capital Projects,Preservation of Facilities,Dedicated Highway and Bridge Trust Fund,Dedicated Highway and Bridge Trust Fund,0000/00/15,highway maintenance equipment,0,0,35657000
"Transportation, Department of",17058523,Infrastructure Bond Act Projects,Highway Facilities,Capital Projects Fund,Capital Projects Fund - Infrastructure Renewal (Bondable),0054/01/85,Rebuild New York,346000,0,0
"Transportation, Department of",170594PM,Non-Federal Aided Highway Capital Projects,Highway Facilities,Dedicated Highway and Bridge Trust Fund,Dedicated Highway and Bridge Trust Fund,0054/01/94,Preventive Maintenance,8688000,0,0
"Transportation, Department of",17060079,Non-Federal Aided Highway Capital Projects,Economic Development,Dedicated Highway and Bridge Trust Fund,Dedicated Highway and Bridge Trust Fund,0055/01/00,Industrial Access,82000,20000,0
"Transportation, Department of",17060279,Non-Federal Aided Highway Capital Projects,Economic Development,Dedicated Highway and Bridge Trust Fund,Dedicated Highway and Bridge Trust Fund,0055/01/02,Industrial Access,314000,290881,0
"Transportation, Department of",17060379,Non-Federal Aided Highway Capital Projects,Economic Development,Dedicated Highway and Bridge Trust Fund,Dedicated Highway and Bridge Trust Fund,0055/01/03,Industrial Access,3140000,70043,0
"Transportation, Department of",17060479,Non-Federal Aided Highway Capital Projects,Economic Development,Dedicated Highway and Bridge Trust Fund,Dedicated Highway and Bridge Trust Fund,0055/01/04,Industrial Access,2022000,50000,0
"Transportation, Department of",17068623,Infrastructure Bond Act Projects,Highway Facilities,Capital Projects Fund,Capital Projects Fund - Infrastructure Renewal (Bondable),0054/01/86,Rebuild New York,429000,0,0
"Transportation, Department of",17068711,Highway Facilities,Highway Facilities,Dedicated Highway and Bridge Trust Fund,Dedicated Highway and Bridge Trust Fund,0054/01/87,Other Highway Systems,9489000,0,0
"Transportation, Department of",17068823,Infrastructure Bond Act Projects,Highway Facilities,Capital Projects Fund,Capital Projects Fund - Infrastructure Renewal (Bondable),0054/01/88,Rebuild New York,1304000,0,0
"Transportation, Department of",17069879,Non-Federal Aided Highway Capital Projects,Highway Facilities,Dedicated Highway and Bridge Trust Fund,Dedicated Highway and Bridge Trust Fund,0055/01/98,Industrial Access,244000,50000,0
"Transportation, Department of",17069979,Non-Federal Aided Highway Capital Projects,Highway Facilities,Dedicated Highway and Bridge Trust Fund,Dedicated Highway and Bridge Trust Fund,0055/01/99,Industrial Access,321000,20000,0
"Transportation, Department of",17070279,Non-Federal Aided Highway Capital Projects,Economic Development,Dedicated Highway and Bridge Trust Fund,Dedicated Highway and Bridge Trust Fund,0055/01/02,Industrial Access,6000000,0,0
"Transportation, Department of",17078723,Infrastructure Bond Act Projects,Highway Facilities,Capital Projects Fund,Capital Projects Fund - Infrastructure Renewal (Bondable),0054/01/87,Rebuild New York,429000,0,0
"Transportation, Department of",17079979,Non-Federal Aided Highway Capital Projects,Economic Development,Dedicated Highway and Bridge Trust Fund,Dedicated Highway and Bridge Trust Fund,0055/01/99,Industrial Access - Mou,1574000,475458,0
"Transportation, Department of",170807HM,Non-Federal Aided Highway Capital Projects,Preservation of Facilities,Capital Projects Fund,Capital Projects Fund,0055/01/07,Diesel Retrofit ,74000,0,0
"Transportation, Department of",17081222,Non-Federal Aided Highway Capital Projects,Highway Facilities,Dedicated Highway and Bridge Trust Fund,Dedicated Highway and Bridge Trust Fund,0054/01/12,highway/row cap,82841000,41908667,0
"Transportation, Department of",170812HM,Non-Federal Aided Highway Capital Projects,Preservation of Facilities,Dedicated Highway and Bridge Trust Fund,Dedicated Highway and Bridge Trust Fund,0054/01/12,highway maintenance fringe,2127000,0,0
"Transportation, Department of",170812PT,Non-Federal Aided Highway Capital Projects,Health and Safety,Dedicated Highway and Bridge Trust Fund,Dedicated Highway and Bridge Trust Fund,0054/01/12,bus inspection fringe,21000,0,0
"Transportation, Department of",17081322,Non-Federal Aided Highway Capital Projects,Highway Facilities,Dedicated Highway and Bridge Trust Fund,Dedicated Highway and Bridge Trust Fund,0054/01/13,highway cap,293029000,123426922,0
"Transportation, Department of",170813HM,Non-Federal Aided Highway Capital Projects,Preservation of Facilities,Dedicated Highway and Bridge Trust Fund,Dedicated Highway and Bridge Trust Fund,0054/01/13,highway maint fr,3000,0,0
"Transportation, Department of",170813PT,Non-Federal Aided Highway Capital Projects,Health and Safety,Dedicated Highway and Bridge Trust Fund,Dedicated Highway and Bridge Trust Fund,0054/01/13,bus inspection fr,68000,0,0
"Transportation, Department of",17081422,Non-Federal Aided Highway Capital Projects,Highway Facilities,Dedicated Highway and Bridge Trust Fund,Dedicated Highway and Bridge Trust Fund,0054/01/14,highway capital,427417000,303875329,0
"Transportation, Department of",170814HM,Non-Federal Aided Highway Capital Projects,Preservation of Facilities,Dedicated Highway and Bridge Trust Fund,Dedicated Highway and Bridge Trust Fund,0054/01/14,highway maintenance fr,104110000,0,0
"Transportation, Department of",170814PT,Non-Federal Aided Highway Capital Projects,Health and Safety,Dedicated Highway and Bridge Trust Fund,Dedicated Highway and Bridge Trust Fund,0054/01/14,bus safety fr,2610000,0,0
"Transportation, Department of",17081522,Non-Federal Aided Highway Capital Projects,Highway Facilities,Dedicated Highway and Bridge Trust Fund,Dedicated Highway and Bridge Trust Fund,0000/00/15,highway capital,0,30221976,413251000
"Transportation, Department of",170815HM,Non-Federal Aided Highway Capital Projects,Preservation of Facilities,Dedicated Highway and Bridge Trust Fund,Dedicated Highway and Bridge Trust Fund,0000/00/15,highway maintenance fr,0,0,141438000
"Transportation, Department of",170815PT,Non-Federal Aided Highway Capital Projects,Health and Safety,Dedicated Highway and Bridge Trust Fund,Dedicated Highway and Bridge Trust Fund,0000/00/15,bus safety fr,0,0,3356000
"Transportation, Department of",17088723,Infrastructure Bond Act Projects,Highway Facilities,Capital Projects Fund,Capital Projects Fund - Infrastructure Renewal (Bondable),0054/01/87,Grade Crossing Eliminations,1118000,0,0
"Transportation, Department of",170912HM,Non-Federal Aided Highway Capital Projects,Preservation of Facilities,Dedicated Highway and Bridge Trust Fund,Dedicated Highway and Bridge Trust Fund,0054/01/12,highway maintenance indirect,110000,0,0
"Transportation, Department of",170912PT,Non-Federal Aided Highway Capital Projects,Health and Safety,Dedicated Highway and Bridge Trust Fund,Dedicated Highway and Bridge Trust Fund,0054/01/12,bus inspection indirect,3000,0,0
